Chat ID,Title,Logged Msg Count,Actual Msg Count,Filesize (bytes),Canvas Used,Log Classification,Actual Folder,Matched Filename,Anomalies
246,Uncensored AI: Benefits and Risks,6,6,10241,False,SHORT,Short,246_Uncensored AI Benefits and Risks.txt,
247,Understanding the Value of 0.6,2,2,378,False,SHORT,Short,247_Understanding the Value of 0.6.txt,
248,Local AI System Requirements and Costs,20,102,67642,True,LONG,Long,248_Local AI System Requirements and Costs.txt,
249,"Defining ""Under Duress"" Meaning",4,4,3750,False,SHORT,Short,249_Defining Under Duress Meaning.txt,
250,"Payback Justice in Australia, PNG",2,2,6878,False,SHORT,Short,"250_Payback Justice in Australia, PNG.txt",
251,AI Model Setup Cost Breakdown,6,6,11989,False,SHORT,Short,251_AI Model Setup Cost Breakdown.txt,
252,Australian Voter Eligibility Statistics,14,14,16140,False,SHORT,Short,252_Australian Voter Eligibility Statistics.txt,
253,Setting an Alarm for Five PM,4,4,331,False,SHORT,Short,253_Setting an Alarm for Five PM.txt,
254,Defining Fascism: Characteristics and Examples,4,4,6651,False,SHORT,Short,254_Defining Fascism Characteristics and Examples.txt,
255,Alarm Set for Ten Fifty PM,4,4,313,False,SHORT,Short,255_Alarm Set for Ten Fifty PM.txt,
256,Meeting with One-Legged People,2,2,364,False,SHORT,Short,256_Meeting with One-Legged People.txt,
257,Defining the Hipster Subculture,10,10,5471,False,SHORT,Short,257_Defining the Hipster Subculture.txt,
258,Defining Transgender Identity and Terms,6,6,7335,False,SHORT,Short,258_Defining Transgender Identity and Terms.txt,
259,"Summarizing Quick Notes: Yes, Sure!",6,6,3443,False,SHORT,Short,"259_Summarizing Quick Notes Yes, Sure!.txt",
260,Sharing Chat Conversations: Methods,2,2,1381,False,SHORT,Short,260_Sharing Chat Conversations Methods.txt,
261,App Development Inquiry Discussion,2,2,1336,False,SHORT,Short,261_App Development Inquiry Discussion.txt,
262,"""Woke"" Meaning and Usage Explained",4,4,7177,False,SHORT,Short,262_Woke Meaning and Usage Explained.txt,
263,"Tell Me More, Please!",2,2,236,False,SHORT,Short,"263_Tell Me More, Please!.txt",
264,Generational Terms and Pokémon Games,8,8,7726,False,SHORT,Short,264_Generational Terms and Pokémon Games.txt,
265,Global Inflation Since WWII Explained,4,4,8902,False,SHORT,Short,265_Global Inflation Since WWII Explained.txt,
266,Tight Labor Market Explained Simply,2,2,2400,False,SHORT,Short,266_Tight Labor Market Explained Simply.txt,
267,Setting an Alarm Time,4,4,284,False,SHORT,Short,267_Setting an Alarm Time.txt,
268,Alarm Time: 7:30 AM,4,4,345,False,SHORT,Short,268_Alarm Time 730 AM.txt,
269,Supply Chain Explained for Economics,20,20,28353,False,LONG,Long,269_Supply Chain Explained for Economics.txt,
270,Command Acknowledged and Executed,8,8,567,False,SHORT,Short,270_Command Acknowledged and Executed.txt,
271,Smart Energy Council's Policy Critique,4,4,3765,False,SHORT,Short,271_Smart Energy Council's Policy Critique.txt,
272,Macroeconomic Objectives Explained Concisely,2,2,2920,False,SHORT,Short,272_Macroeconomic Objectives Explained Concisely.txt,
273,Alarm Set for 11:30 PM,6,6,422,False,SHORT,Short,273_Alarm Set for 1130 PM.txt,
274,Setting an Alarm for Ten-Fifty,6,6,440,False,SHORT,Short,274_Setting an Alarm for Ten-Fifty.txt,
275,"Tomorrow's Weather: Clouds, Rain, 25°C",2,2,678,False,SHORT,Short,"275_Tomorrow's Weather Clouds, Rain, 25°C.txt",
276,Weird definition and Telstra.,2,2,1238,False,SHORT,Short,276_Weird definition and Telstra..txt,
277,Pivot Tables Explained Simply,4,4,5681,False,SHORT,Short,277_Pivot Tables Explained Simply.txt,
278,"AI, Robotics, Productivity Projections",6,6,8806,False,SHORT,Short,"278_AI, Robotics, Productivity Projections.txt",
279,RX 9070 Display Support,4,4,2993,False,SHORT,Short,279_RX 9070 Display Support.txt,
280,"Meaning of ""In the Meantime""",2,2,1015,False,SHORT,Short,280_Meaning of In the Meantime.txt,
281,Locked In,2,2,535,False,SHORT,Short,281_Locked In.txt,
282,Coronavirus Origin Debate,4,4,4912,False,SHORT,Short,282_Coronavirus Origin Debate.txt,
283,Human CO2 vs. Natural Sources,2,2,1458,False,SHORT,Short,283_Human CO2 vs. Natural Sources.txt,
284,Authentication Successful,2,2,393,False,SHORT,Short,284_Authentication Successful.txt,
285,Chery Vehicles: Reputation & Servicing,4,4,4332,False,SHORT,Short,285_Chery Vehicles Reputation & Servicing.txt,
286,Catchlines for Tracey's Treats,2,2,599,False,SHORT,Short,286_Catchlines for Tracey's Treats.txt,
287,What is an Elife Cast?,2,2,1472,False,SHORT,Short,287_What is an Elife Cast.txt,
288,A Simple Greeting,14,14,20930,False,SHORT,Short,288_A Simple Greeting.txt,
289,Israel's Origins to one nte cliper,14,14,24392,False,SHORT,Short,289_Israel's Origins to one nte cliper.txt,
290,A Brief Farewell,2,2,167,False,SHORT,Short,290_A Brief Farewell.txt,
291,Set an Alarm,4,4,268,False,SHORT,Short,291_Set an Alarm.txt,
292,French Culture: A Complex Tapestry,2,2,1128,False,SHORT,Short,292_French Culture A Complex Tapestry.txt,
293,Add to Albany List,4,4,424,False,SHORT,Short,293_Add to Albany List.txt,
294,Create a List,6,6,456,False,SHORT,Short,294_Create a List.txt,
295,Apology for Phone Calls,12,12,1415,False,SHORT,Short,295_Apology for Phone Calls.txt,
296,what's the weather in Denmark this afternoon,20,24,4140,False,LONG,Long,296_what's the weather in Denmark this afternoon.txt,
